TimeStamp,DateTime,Open,High,Low,Close,Side,Volume,BuyVol,SellVol,Delta,Trade,BuyTrades,SellTrades,LSRatio,LongRatio,ShortRatio,OIOpen,OIHigh,OILow,OIClose,OIChange,LongLiquidation,ShortLiquidation,FROpen,FRHigh,FRLow,FRClose
1695330000,2023-09-22 01:00:00,26592.0,26620.0,26581.0,26581.0,Sell,60413.0,3953.0,56460.0,-52507.0,57,34,23,1.0802995631370917,0.5193,0.4807,488285176.5,534950900.0,442148743.0,488967161.5,681985.0,0,87,0.002824,0.00323,0.002418,0.002824
1695331800,2023-09-22 01:30:00,26575.5,26617.0,26568.0,26617.0,Buy,23862.0,1781.0,22081.0,-20300.0,53,43,10,1.081165452653486,0.5195000000000001,0.4805,488753011.5,534056100.0,443326977.0,488555299.0,-197712.5,0,594,0.002824,0.00323,0.002418,0.002824
1695333600,2023-09-22 02:00:00,26617.0,26617.0,26553.0,26562.0,Sell,72482.0,2994.0,69488.0,-66494.0,58,17,41,1.0820320632937748,0.5197,0.4803,488581149.0,535754900.0,435838245.0,486821391.0,-1759758.0,0,23042,0.002824,0.00323,0.002418,0.002824
1695335400,2023-09-22 02:30:00,26568.0,26588.0,26547.5,26588.0,Buy,11755.0,700.0,11055.0,-10355.0,15,5,10,1.0820320632937748,0.5197,0.4803,486908691.0,535979800.0,437650306.0,486395601.0,-513090.0,0,10928,0.002824,0.00323,0.002418,0.002824
1695337200,2023-09-22 03:00:00,26590.0,26613.5,26570.0,26570.0,Sell,23364.0,8129.0,15235.0,-7106.0,24,8,16,1.081165452653486,0.5195000000000001,0.4805,486396051.0,533414000.0,438168931.0,485263827.5,-1132223.5,0,6074,0.002824,0.00323,0.002418,0.002824
1695339000,2023-09-22 03:30:00,26568.0,26578.0,26550.5,26556.5,Sell,67759.0,13191.0,54568.0,-41377.0,49,10,39,1.862517196922437,0.6224,0.37760000000000005,485236777.5,531869300.0,438950032.0,485208200.0,-28577.5,0,77735,0.002824,0.00323,0.002418,0.002824
1695340800,2023-09-22 04:00:00,26563.5,26600.0,26483.5,26509.0,Sell,97246.0,37100.0,60146.0,-23046.0,91,20,71,1.8680834442595673,0.62285,0.37715000000000004,484956950.0,529040900.0,440791912.0,485111242.0,154292.0,0,203316,0.002824,0.00323,0.002418,0.002824
1695342600,2023-09-22 04:30:00,26534.0,26644.5,26531.0,26635.5,Buy,234500.0,111586.0,122914.0,-11328.0,138,64,74,1.873217196922437,0.6232,0.3768,485068592.0,529689700.0,439726546.0,484708023.0,-360569.0,0,6025,0.002824,0.00323,0.002418,0.002824
1695344400,2023-09-22 05:00:00,26633.0,26664.0,26563.0,26648.5,Buy,124009.0,69338.0,54671.0,14667.0,84,49,35,1.8592171969224371,0.62215,0.37785,484706123.0,531098800.0,433962253.0,481675783.5,-3030339.5,0,173,0.002824,0.00323,0.002418,0.002824
1695346200,2023-09-22 05:30:00,26652.5,26660.0,26599.5,26628.0,Sell,205681.0,132161.0,73520.0,58641.0,100,69,31,1.8656497815685458,0.6226999999999999,0.3773,481855033.5,528476700.0,434748236.0,481196670.0,-658363.5,0,135616,0.002824,0.00323,0.002418,0.002824
1695348000,2023-09-22 06:00:00,26624.5,26632.0,26574.5,26579.5,Sell,103135.0,56758.0,46377.0,10381.0,65,36,29,1.8662997815685458,0.62275,0.37725000000000003,481130120.0,526968300.0,435291494.0,480222798.5,-907321.5,0,930,0.002824,0.00323,0.002418,0.002824
1695349800,2023-09-22 06:30:00,26582.5,26593.5,26563.0,26568.5,Sell,100791.0,37226.0,63565.0,-26339.0,58,30,28,1.8629497815685458,0.6225,0.3775,480271498.5,524557000.0,435094435.0,480847555.5,576057.0,0,20700,0.002824,0.00323,0.002418,0.002824
1695351600,2023-09-22 07:00:00,26561.5,26631.0,26553.0,26597.0,Buy,88174.0,46802.0,41372.0,5430.0,69,43,26,1.8736497815685458,0.6233,0.37670000000000003,480847555.5,525370100.0,437503838.0,481343073.5,495518.0,0,295,0.002824,0.00323,0.002418,0.002824
1695353400,2023-09-22 07:30:00,26587.5,26627.0,26577.5,26617.5,Buy,80334.0,43339.0,36995.0,6344.0,63,38,25,1.8788334442595673,0.62365,0.37634999999999996,481221323.5,524402600.0,437710236.0,481084449.0,-136874.5,0,4,0.002824,0.00323,0.002418,0.002824
1695355200,2023-09-22 08:00:00,26622.0,26644.0,26612.0,26635.0,Buy,143326.0,126666.0,16660.0,110006.0,115,102,13,1.8835834442595674,0.624,0.376,481091699.0,523884700.0,438068601.0,480901185.5,-190513.5,0,669,0.002824,0.00323,0.002418,0.002824
1695357000,2023-09-22 08:30:00,26636.0,26659.0,26623.5,26640.5,Buy,135347.0,110896.0,24451.0,86445.0,82,74,8,1.8902171969224373,0.6244500000000001,0.37555,480681735.5,522844400.0,438502013.0,480894067.5,212332.0,0,21477,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695358800,2023-09-22 09:00:00,26638.0,26638.0,26606.0,26610.0,Sell,74794.0,28717.0,46077.0,-17360.0,146,129,17,1.8904334442595674,0.6245,0.3755,480938517.5,522591700.0,439158467.0,480919439.0,-19078.5,0,6927,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695360600,2023-09-22 09:30:00,26610.0,26664.0,26601.0,26663.0,Buy,72874.0,47143.0,25731.0,21412.0,164,145,19,1.874349781568546,0.62335,0.37665,480798789.0,522261100.0,439499753.0,480773926.5,-24862.5,0,142129,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695362400,2023-09-22 10:00:00,26666.0,26681.5,26633.0,26652.5,Sell,42128.0,10821.0,31307.0,-20486.0,46,21,25,1.876349781568546,0.6234999999999999,0.3765,480835726.5,522172500.0,439218939.0,480976366.5,140640.0,0,2125,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695364200,2023-09-22 10:30:00,26656.0,26666.0,26602.5,26619.5,Sell,87280.0,12058.0,75222.0,-63164.0,90,56,34,1.8622997815685458,0.6224500000000001,0.37755000000000005,481072366.5,522485000.0,440225333.0,481911172.5,838806.0,0,57237,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695366000,2023-09-22 11:00:00,26619.5,26636.5,26571.0,26584.5,Sell,64505.0,38252.0,26253.0,11999.0,216,187,29,1.8716497815685458,0.62315,0.37685,482002422.5,523609300.0,441486977.0,483168770.0,1166347.5,0,1116,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695367800,2023-09-22 11:30:00,26584.5,26701.0,26584.5,26673.5,Buy,255443.0,149817.0,105626.0,44191.0,230,169,61,1.8625162089055347,0.6225,0.3775,483144370.0,523881900.0,442672519.0,483157199.0,12829.0,0,361,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695369600,2023-09-22 12:00:00,26675.0,26747.0,26669.5,26685.0,Buy,414895.0,235814.0,179081.0,56733.0,164,86,78,1.8671662089055348,0.62285,0.37715000000000004,483700499.0,524798800.0,442785526.0,483683083.0,-17416.0,0,18513,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695371400,2023-09-22 12:30:00,26693.5,26717.0,26660.0,26668.0,Sell,49881.0007,30318.5621,19562.438599999998,10756.123500000002,123,45,78,1.8625162089055347,0.6225,0.3775,483710083.0,524944900.0,442782168.0,484800627.5,1090544.5,0,119879,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695373200,2023-09-22 13:00:00,26673.0,26677.0,26622.5,26625.75,Sell,165479.6683,30181.3326,135298.3357,-105117.0031,272,92,180,2.655,0.7264,0.2736,484812727.5,525527900.0,444679059.0,485322623.0,509895.5,0,10000,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695375000,2023-09-22 13:30:00,26634.25,26665.0,26629.0,26641.25,Buy,141115.9661,24247.6443,116868.32179999999,-92620.67749999999,167,42,125,2.6778,0.7281000000000001,0.27190000000000003,485325073.0,525660200.0,445176874.0,486122235.0,797162.0,0,14361,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695376800,2023-09-22 14:00:00,26646.0,26661.0,26590.0,26612.25,Sell,224898.1163,80311.0833,144587.033,-64275.9497,272,102,170,2.651,0.7261,0.27390000000000003,486120135.0,526264500.0,446325190.0,486026907.5,-93227.5,0,58,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695378600,2023-09-22 14:30:00,26603.575,26622.0,26571.5,26584.875,Sell,15172850.4449,195904.9404,14976945.5045,-14781040.5641,1165,415,750,2.6697,0.7275,0.2725,486041207.5,525958100.0,446237691.0,487279334.0,1238126.5,0,106098,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695380400,2023-09-22 15:00:00,26588.475,26639.0,26574.2,26623.225,Buy,7461954.1451,4533088.2249,2928865.9202000005,1604222.3046999993,1181,951,230,2.639,0.7252,0.2748,487273284.0,526673900.0,447171235.0,487822966.5,549682.5,0,166951,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695382200,2023-09-22 15:30:00,26621.025,26668.0,26605.1,26634.975,Buy,7591941.0151,1985156.0996,5606784.9155,-3621628.8159,1193,558,635,1.880832726326743,0.6239,0.3761,487833016.5,526433900.0,449490589.0,488820911.0,987894.5,0,421,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695384000,2023-09-22 16:00:00,26640.525,26659.0,26606.3,26645.325,Buy,3341229.346,2672059.8238999997,669169.5221000002,2002890.3017999995,1476,667,809,1.858782726326743,0.6222500000000001,0.37775,488825461.0,526693500.0,451207922.0,489638046.5,812585.5,0,66911,0.0007019999999999999,0.000874,0.00053,0.0007019999999999999
1695385800,2023-09-22 16:30:00,26646.15,26659.0,26564.6,26582.175,Sell,24330778.4001,23273865.4476,1056912.9525000006,22216952.4951,2702,1589,1113,1.8700827263267428,0.6231,0.3769,489638096.5,526913400.0,452645093.0,490415485.5,777389.0,0,41183,0.0021975,0.003547,0.000848,0.0021975
1695387600,2023-09-22 17:00:00,26579.625,26620.5,26557.8,26603.825,Buy,5141142.8879,2121701.2805,3019441.6074000006,-897740.3269000007,1614,550,1064,1.8714327263267432,0.6232,0.3768,490487485.5,527299000.0,453312300.0,490207449.5,-280036.0,0,9397,0.0021975,0.003547,0.000848,0.0021975
1695389400,2023-09-22 17:30:00,26607.575,26630.0,26539.6,26605.85,Sell,18053084.5457,5664475.5735,12388608.972199999,-6724133.398699999,2349,1055,1294,1.8761327263267429,0.62355,0.37644999999999995,490200099.5,527005200.0,453601099.0,490159047.0,-41052.5,0,168521,0.0021975,0.003547,0.000848,0.0021975
1695391200,2023-09-22 18:00:00,26603.125,26692.0,26572.3,26624.475,Buy,21747502.8605,5954615.7758,15792887.0847,-9838271.308899999,2514,1562,952,1.8594327263267432,0.6223000000000001,0.3777,490192747.0,527119600.0,453792796.0,491058363.5,865616.5,0,32400,0.0021975,0.003547,0.000848,0.0021975
1695393000,2023-09-22 18:30:00,26638.975,26694.0,26590.4,26674.7,Buy,15033438.2748,7343884.8728,7689553.402000001,-345668.5292000007,2192,1348,844,1.862732726326743,0.62255,0.37745,491029063.5,527392800.0,453426899.0,490034630.5,-994433.0,0,6200,0.0021975,0.003547,0.000848,0.0021975
1695394800,2023-09-22 19:00:00,26677.525,26694.0,26611.7,26661.55,Sell,22200089.2977,11452155.823800001,10747933.473899998,704222.3499000035,2518,1091,1427,1.8662993338884262,0.62285,0.37715000000000004,490110130.5,527038800.0,453343151.0,490798191.0,688060.5,0,100,0.0021975,0.003547,0.000848,0.0021975
1695396600,2023-09-22 19:30:00,26657.025,26697.0,26612.1,26626.05,Sell,18248418.8385,503100.5514,17745318.287100002,-17242217.735700004,2099,581,1518,1.8660827263267428,0.6228,0.3772,490846591.0,527303000.0,454685532.0,491218492.5,371901.5,0,206,0.0021975,0.003547,0.000848,0.0021975
1695398400,2023-09-22 20:00:00,26623.95,26651.5,26597.2,26620.3,Sell,12527451.595099999,2458723.5629,10068728.0322,-7610004.4693,1909,483,1426,1.8642993338884262,0.6226999999999999,0.3773,491226542.5,529577800.0,455456452.0,492481889.0,1255346.5,0,25100,0.0021975,0.003547,0.000848,0.0021975
1695400200,2023-09-22 20:30:00,26623.075,26650.5,26564.5,26595.075,Sell,18561907.0192,1360554.5195,17201352.499700002,-15840797.980200002,2307,542,1765,1.8616493338884263,0.6225,0.3775,492488439.0,529210700.0,455766278.0,491359590.5,-1128848.5,0,300,0.0021975,0.003547,0.000848,0.0021975
1695402000,2023-09-22 21:00:00,26595.8,26640.0,26538.6,26581.225,Sell,30942976.6447,500980.4848,30441996.1599,-29941015.6751,3516,602,2914,1.8783493338884263,0.62375,0.37625000000000003,491297140.5,522092700.0,460624181.0,491711138.5,413998.0,0,800508,0.0021975,0.003547,0.000848,0.0021975
1695403800,2023-09-22 21:30:00,26579.6,26610.5,26512.3,26573.875,Sell,22876853.4131,892633.2218,21984220.1913,-21091586.9695,3034,899,2135,1.880832726326743,0.6239,0.3761,492009088.5,522427400.0,459772560.0,488983151.5,-3025937.0,0,54155,0.0021975,0.003547,0.000848,0.0021975
1695405600,2023-09-22 22:00:00,26573.55,26601.0,26524.0,26568.45,Sell,7816927.0023,3023253.993,4793673.0093,-1770419.0163000003,1755,683,1072,1.8578662089055347,0.62215,0.37785,488919951.5,515774700.0,459920610.0,487130475.0,-1789476.5,0,5182,0.0021975,0.003547,0.000848,0.0021975
1695407400,2023-09-22 22:30:00,26563.075,26617.5,26543.2,26585.65,Buy,7832203.7429,5333072.759,2499130.9839000003,2833941.7750999993,1718,702,1016,1.8745662089055348,0.6234,0.37660000000000005,487289975.0,514194200.0,460155067.0,487164150.5,-125824.5,0,7585,0.0021975,0.003547,0.000848,0.0021975
1695409200,2023-09-22 23:00:00,26593.3,26644.0,26583.3,26601.875,Buy,9993034.6989,6586284.8966,3406749.8022999996,3179535.0943,1847,832,1015,1.8569993338884263,0.6221500000000001,0.37784999999999996,487147800.5,513312100.0,461002033.0,486514041.5,-633759.0,0,900,0.0021975,0.003547,0.000848,0.0021975
